PassengerId,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Survived
29,3,Passenger 29,male,48.6,2,0,T10028,21.41,,S,0
30,1,Passenger 30,female,,0,2,T10029,83.91,,S,0
31,3,Passenger 31,male,36.4,0,0,T10030,9.61,,S,0
32,1,Passenger 32,female,60.3,0,0,T10031,57.05,,S,1
33,1,Passenger 33,female,21.0,0,1,T10032,133.82,C91,S,0
34,3,Passenger 34,male,,2,0,T10033,64.11,,S,0
35,3,Passenger 35,male,30.8,1,0,T10034,238.58,,S,0
36,3,Passenger 36,male,33.8,0,0,T10035,21.28,,S,0
37,2,Passenger 37,male,51.4,0,0,T10036,43.42,C34,S,0
38,1,Passenger 38,male,37.1,1,0,T10037,44.98,,Q,0
39,3,Passenger 39,male,37.5,1,0,T10038,34.04,,C,0
40,3,Passenger 40,male,,0,1,T10039,102.23,,C,0
41,1,Passenger 41,female,24.9,0,0,T10040,112.74,,S,1
42,3,Passenger 42,female,18.3,0,0,T10041,112.04,,S,1
43,1,Passenger 43,male,15.4,2,1,T10042,29.48,,S,0
44,3,Passenger 44,male,2.5,0,0,T10043,108.32,,S,0
45,2,Passenger 45,male,58.8,0,0,T10044,8.89,,Q,0
46,3,Passenger 46,male,14.6,0,0,T10045,114.73,,S,1
47,2,Passenger 47,female,26.9,0,0,T10046,27.45,,S,1
48,3,Passenger 48,male,26.1,0,2,T10047,23.89,,S,0
49,3,Passenger 49,male,34.3,1,0,T10048,40.88,C96,S,1
50,1,Passenger 50,male,41.4,0,1,T10049,263.25,,S,0
51,3,Passenger 51,male,42.0,0,1,T10050,7.45,,S,0
52,3,Passenger 52,female,21.8,0,2,T10051,26.71,,S,0
53,3,Passenger 53,female,27.7,0,1,T10052,102.1,,C,0
54,3,Passenger 54,male,34.0,1,1,T10053,30.21,,S,0
55,3,Passenger 55,male,,0,0,T10054,16.1,C85,Q,0
56,3,Passenger 56,male,52.5,0,1,T10055,32.65,C60,C,0
57,1,Passenger 57,female,36.9,1,1,T10056,52.83,C23,S,0
58,1,Passenger 58,female,40.3,0,1,T10057,231.3,,C,1
59,1,Passenger 59,male,39.3,0,0,T10058,138.17,,S,0
60,2,Passenger 60,male,46.4,2,0,T10059,44.19,,Q,0
61,2,Passenger 61,female,32.5,3,0,T10060,250.48,,S,0
62,2,Passenger 62,male,11.8,1,0,T10061,39.93,,S,0
63,3,Passenger 63,female,35.6,1,1,T10062,8.0,,S,1
64,2,Passenger 64,male,20.9,1,2,T10063,22.23,,S,0
65,2,Passenger 65,male,22.6,1,1,T10064,37.01,C65,,0
66,3,Passenger 66,male,,0,1,T10065,13.53,,S,0
67,1,Passenger 67,male,47.3,1,1,T10066,274.34,,S,0
68,3,Passenger 68,male,30.3,1,0,T10067,77.8,,S,0
69,1,Passenger 69,female,34.3,0,1,T10068,37.11,,Q,1
70,3,Passenger 70,male,,1,0,T10069,49.68,C47,S,0
71,3,Passenger 71,male,33.4,1,0,T10070,68.91,,S,0
72,1,Passenger 72,male,,0,1,T10071,264.15,,S,0
73,1,Passenger 73,male,37.9,0,0,T10072,201.06,,S,0
74,3,Passenger 74,male,5.3,0,0,T10073,41.2,,S,0
75,3,Passenger 75,male,40.5,0,0,T10074,79.51,C8,S,0
76,3,Passenger 76,female,35.3,0,0,T10075,46.29,,S,0
77,3,Passenger 77,male,48.1,0,0,T10076,45.23,,C,0
78,1,Passenger 78,male,39.4,0,0,T10077,19.97,,S,1
79,2,Passenger 79,male,28.1,2,0,T10078,12.92,,S,1
80,1,Passenger 80,female,12.9,1,0,T10079,76.86,C32,S,1
81,3,Passenger 81,female,,1,1,T10080,20.66,,C,0
82,3,Passenger 82,female,18.1,1,0,T10081,6.06,C10,Q,1
83,2,Passenger 83,male,21.9,1,0,T10082,76.07,,S,0
84,1,Passenger 84,male,38.2,1,0,T10083,11.97,,S,0
85,2,Passenger 85,male,,0,1,T10084,55.25,C81,S,0
86,2,Passenger 86,male,35.5,1,0,T10085,48.11,,S,0
87,3,Passenger 87,male,13.3,0,0,T10086,178.39,,S,0
88,3,Passenger 88,male,36.2,1,1,T10087,38.1,,S,0
89,3,Passenger 89,male,,1,0,T10088,8.29,,S,0
90,3,Passenger 90,male,21.5,0,0,T10089,45.11,,Q,0
91,1,Passenger 91,female,,0,1,T10090,174.55,,S,0
92,3,Passenger 92,male,30.2,0,0,T10091,293.01,,S,0
93,3,Passenger 93,male,19.0,0,1,T10092,33.14,,S,0
94,3,Passenger 94,female,39.1,0,0,T10093,24.31,,S,0
95,3,Passenger 95,male,28.3,0,2,T10094,123.57,,S,0
96,3,Passenger 96,female,35.9,2,0,T10095,15.61,,S,1
97,3,Passenger 97,male,17.6,0,0,T10096,52.78,,S,0
98,2,Passenger 98,male,23.9,0,2,T10097,34.12,C21,S,0
99,1,Passenger 99,female,40.1,0,1,T10098,12.78,,Q,0
100,1,Passenger 100,female,24.8,1,0,T10099,47.4,,S,0
101,1,Passenger 101,female,54.2,0,0,T10100,36.74,,S,1
102,3,Passenger 102,male,,0,0,T10101,62.93,,S,0
103,2,Passenger 103,male,33.1,0,1,T10102,168.95,,S,0
104,3,Passenger 104,male,,2,1,T10103,20.6,,S,0
105,3,Passenger 105,male,10.1,0,0,T10104,88.42,,C,0
106,2,Passenger 106,female,5.3,2,1,T10105,8.63,,,1
107,2,Passenger 107,male,8.6,0,0,T10106,47.98,,Q,1
108,3,Passenger 108,female,47.7,0,0,T10107,8.66,,S,1
109,1,Passenger 109,male,22.3,0,1,T10108,253.67,,C,1
110,1,Passenger 110,male,65.8,0,0,T10109,139.85,,S,1
111,2,Passenger 111,male,22.1,0,0,T10110,64.5,C5,S,0
112,1,Passenger 112,female,32.6,0,0,T10111,165.3,,S,1
113,3,Passenger 113,female,,0,1,T10112,57.14,,C,0
114,3,Passenger 114,female,58.1,1,0,T10113,178.6,,S,1
115,3,Passenger 115,female,58.9,0,0,T10114,67.58,,S,0
116,3,Passenger 116,female,46.9,0,0,T10115,134.29,C78,S,1
117,3,Passenger 117,female,44.3,0,1,T10116,41.4,,S,1
118,1,Passenger 118,male,38.3,1,1,T10117,20.21,C93,S,1
119,3,Passenger 119,male,,0,0,T10118,42.56,,Q,0
120,3,Passenger 120,male,22.3,1,1,T10119,11.78,,S,0
121,3,Passenger 121,female,18.5,1,2,T10120,49.88,,S,1
122,3,Passenger 122,female,30.0,0,0,T10121,37.94,,S,0
123,2,Passenger 123,male,27.6,0,1,T10122,59.09,,S,1
124,1,Passenger 124,female,23.7,0,0,T10123,9.91,,S,1
125,1,Passenger 125,female,,2,0,T10124,28.5,,S,0
126,2,Passenger 126,male,43.4,0,0,T10125,42.68,,S,0
127,3,Passenger 127,male,31.2,2,1,T10126,155.29,,S,0
128,3,Passenger 128,female,,0,0,T10127,29.19,,S,1
129,1,Passenger 129,male,14.0,0,0,T10128,58.71,,S,0
130,3,Passenger 130,female,27.3,1,0,T10129,67.71,,S,0
131,2,Passenger 131,male,20.0,0,0,T10130,56.42,C13,S,0
132,1,Passenger 132,female,3.9,1,1,T10131,40.96,,,0
133,1,Passenger 133,female,,0,2,T10132,56.61,,S,1
134,2,Passenger 134,female,28.3,0,0,T10133,19.0,,S,1
135,3,Passenger 135,male,,0,0,T10134,174.1,,S,0
136,2,Passenger 136,female,38.8,0,0,T10135,13.2,,S,0
137,3,Passenger 137,female,,0,2,T10136,28.25,,Q,0
138,3,Passenger 138,male,56.0,0,0,T10137,6.31,,S,0
139,2,Passenger 139,female,47.1,0,2,T10138,19.29,,S,0
140,3,Passenger 140,male,38.1,2,0,T10139,80.81,,S,1
141,3,Passenger 141,male,26.8,0,0,T10140,16.23,C89,S,1
142,2,Passenger 142,male,16.6,0,1,T10141,10.09,C4,C,0
143,3,Passenger 143,male,24.8,0,0,T10142,37.17,,S,0
144,2,Passenger 144,male,45.2,0,0,T10143,6.05,C28,S,1
145,2,Passenger 145,female,56.4,1,0,T10144,10.37,,S,0
146,1,Passenger 146,male,51.6,0,0,T10145,157.35,,S,0
147,3,Passenger 147,female,23.2,0,1,T10146,78.81,C62,C,0
148,3,Passenger 148,male,14.3,1,0,T10147,128.34,C67,S,0
149,1,Passenger 149,male,32.0,1,0,T10148,182.49,,S,1
150,2,Passenger 150,male,5.2,2,0,T10149,68.72,,S,0
151,3,Passenger 151,female,34.5,0,0,T10150,7.69,C36,S,0
152,1,Passenger 152,male,,0,0,T10151,146.44,,S,0
153,1,Passenger 153,male,,0,0,T10152,177.09,,S,1
154,3,Passenger 154,female,7.7,1,0,T10153,85.24,C67,S,1
155,3,Passenger 155,male,37.2,1,0,T10154,40.51,,S,0
156,2,Passenger 156,male,,0,0,T10155,20.08,,S,0
157,3,Passenger 157,male,13.6,0,2,T10156,98.32,,Q,0
158,3,Passenger 158,female,0.4,1,0,T10157,69.94,C33,S,1
159,1,Passenger 159,male,29.6,1,1,T10158,364.57,,S,1
160,3,Passenger 160,female,54.8,0,2,T10159,13.46,,S,0
161,2,Passenger 161,male,,1,0,T10160,19.57,,S,0
162,3,Passenger 162,female,23.6,3,1,T10161,16.9,,S,0
163,3,Passenger 163,female,21.6,0,0,T10162,83.64,,C,0
164,3,Passenger 164,female,36.6,1,0,T10163,15.35,C40,S,0
165,1,Passenger 165,male,16.0,0,0,T10164,15.21,,S,0
166,3,Passenger 166,female,34.2,1,1,T10165,332.18,,S,1
167,2,Passenger 167,male,40.7,0,1,T10166,6.88,,S,0
168,1,Passenger 168,male,47.2,0,0,T10167,171.3,,S,0
169,1,Passenger 169,male,28.6,0,0,T10168,49.92,,S,0
170,3,Passenger 170,female,27.1,1,0,T10169,97.14,C19,S,0
171,3,Passenger 171,female,17.7,2,0,T10170,45.44,,S,0
172,1,Passenger 172,female,,0,2,T10171,217.71,,S,1
173,3,Passenger 173,male,,1,0,T10172,135.32,,S,0
174,1,Passenger 174,male,35.1,1,0,T10173,9.82,,S,0
175,3,Passenger 175,female,42.8,2,0,T10174,8.92,,S,1
176,1,Passenger 176,male,18.8,0,1,T10175,34.93,,S,1
177,3,Passenger 177,male,50.9,1,1,T10176,60.33,,S,1
178,2,Passenger 178,male,26.2,1,0,T10177,126.04,,S,0
179,3,Passenger 179,male,29.7,0,1,T10178,35.8,,S,0
180,1,Passenger 180,male,19.5,2,0,T10179,93.05,,S,1
181,2,Passenger 181,male,0.4,0,0,T10180,16.99,,S,0
182,1,Passenger 182,male,,1,0,T10181,156.11,,S,0
183,3,Passenger 183,male,40.3,0,1,T10182,176.06,,S,0
184,3,Passenger 184,female,26.1,1,1,T10183,20.64,,S,1
185,2,Passenger 185,male,30.9,0,0,T10184,43.06,,C,0
186,3,Passenger 186,male,37.2,0,1,T10185,9.5,,S,1
187,3,Passenger 187,female,8.1,1,0,T10186,45.95,C47,S,1
188,3,Passenger 188,male,22.6,1,0,T10187,39.94,,S,0
189,3,Passenger 189,female,,1,0,T10188,12.8,,S,1
190,2,Passenger 190,female,12.4,0,0,T10189,37.59,C60,S,1
191,1,Passenger 191,male,34.1,0,0,T10190,45.6,,S,1
192,3,Passenger 192,male,,0,0,T10191,41.89,,S,0
193,3,Passenger 193,female,,0,0,T10192,49.05,,S,1
194,3,Passenger 194,female,29.5,1,1,T10193,5.43,C60,S,0
195,2,Passenger 195,male,,1,1,T10194,84.22,,S,1
196,2,Passenger 196,male,46.3,0,0,T10195,74.16,,S,0
197,3,Passenger 197,male,19.7,1,1,T10196,27.81,,S,0
198,3,Passenger 198,female,18.7,0,1,T10197,7.72,,S,1
199,3,Passenger 199,male,32.8,0,0,T10198,75.31,,S,0
200,3,Passenger 200,female,46.1,0,0,T10199,160.25,,S,1
201,3,Passenger 201,female,15.8,0,0,T10200,18.73,,S,0
202,1,Passenger 202,male,,0,1,T10201,44.18,,S,0
203,1,Passenger 203,male,36.0,1,2,T10202,27.28,,S,1
204,3,Passenger 204,male,39.7,0,0,T10203,48.01,,C,0
205,3,Passenger 205,male,32.5,0,2,T10204,13.41,,,0
206,1,Passenger 206,male,24.9,0,0,T10205,48.63,,S,0
207,1,Passenger 207,male,18.4,2,0,T10206,116.47,,S,0
208,3,Passenger 208,female,,1,1,T10207,46.06,C83,S,1
209,1,Passenger 209,male,,0,1,T10208,52.97,,S,1
210,1,Passenger 210,male,0.4,0,0,T10209,58.06,,S,0
211,3,Passenger 211,female,36.1,0,0,T10210,46.29,,S,1
212,3,Passenger 212,female,,0,0,T10211,5.29,,Q,0
213,3,Passenger 213,female,0.4,0,0,T10212,9.09,,S,0
214,1,Passenger 214,female,15.9,0,0,T10213,200.77,,S,1
215,3,Passenger 215,male,38.7,1,0,T10214,9.05,,S,0
216,1,Passenger 216,male,58.8,0,0,T10215,119.42,,C,0
217,2,Passenger 217,female,,1,0,T10216,144.44,,S,1
218,3,Passenger 218,female,19.8,0,1,T10217,20.78,,S,0
219,3,Passenger 219,male,27.4,2,0,T10218,28.14,,S,0
220,3,Passenger 220,female,49.2,1,0,T10219,47.07,,C,0
221,3,Passenger 221,male,21.0,1,1,T10220,111.73,,S,0
222,3,Passenger 222,male,,0,1,T10221,147.28,,C,0
223,1,Passenger 223,male,23.2,0,0,T10222,130.09,,S,0
224,2,Passenger 224,male,16.7,0,0,T10223,10.48,C62,S,0
225,2,Passenger 225,male,31.7,1,1,T10224,66.34,,S,0
226,2,Passenger 226,male,52.7,0,0,T10225,34.55,C36,S,1
227,3,Passenger 227,female,34.5,0,1,T10226,36.81,,S,1
228,2,Passenger 228,male,26.5,1,1,T10227,8.27,,C,0
229,3,Passenger 229,male,25.9,1,1,T10228,15.6,,S,0
230,3,Passenger 230,female,8.1,0,0,T10229,83.15,,S,0
231,3,Passenger 231,female,42.4,0,0,T10230,35.25,,S,0
232,3,Passenger 232,female,28.9,0,1,T10231,22.95,C82,S,1
233,3,Passenger 233,female,27.5,2,0,T10232,29.23,,S,0
234,3,Passenger 234,female,,0,0,T10233,101.34,,S,0
235,1,Passenger 235,male,34.2,0,0,T10234,133.41,,S,0
236,3,Passenger 236,male,19.5,1,0,T10235,20.89,,S,0
237,2,Passenger 237,male,24.0,0,0,T10236,12.37,,Q,0
238,1,Passenger 238,male,46.1,0,0,T10237,35.13,,S,0
239,3,Passenger 239,male,31.6,1,0,T10238,131.76,,C,0
240,1,Passenger 240,female,9.9,0,0,T10239,87.42,,S,1
241,3,Passenger 241,male,42.9,0,0,T10240,43.12,,S,0
242,3,Passenger 242,male,20.6,0,1,T10241,50.37,,S,1
243,3,Passenger 243,male,56.2,2,0,T10242,27.79,,S,0
244,2,Passenger 244,female,45.1,0,0,T10243,96.01,,C,1
245,1,Passenger 245,male,23.7,0,3,T10244,75.68,,S,1
246,3,Passenger 246,female,47.9,0,0,T10245,11.21,,S,0
247,2,Passenger 247,male,30.9,0,0,T10246,13.1,,C,0
248,3,Passenger 248,male,41.9,1,0,T10247,43.49,C7,S,0
249,3,Passenger 249,male,36.8,0,0,T10248,142.89,,S,0
250,3,Passenger 250,female,18.2,0,1,T10249,23.43,,S,0
251,2,Passenger 251,male,21.0,0,1,T10250,117.52,,C,1
252,2,Passenger 252,female,,0,1,T10251,84.94,,S,0
253,3,Passenger 253,male,25.3,0,0,T10252,19.24,,S,0
254,2,Passenger 254,male,24.3,1,1,T10253,7.54,,S,0
255,1,Passenger 255,female,16.6,0,0,T10254,18.67,,Q,0
256,3,Passenger 256,female,,2,0,T10255,70.19,C81,S,0
257,3,Passenger 257,female,58.9,1,1,T10256,16.14,C45,S,1
258,3,Passenger 258,female,15.1,0,0,T10257,28.2,,S,1
259,3,Passenger 259,female,,0,1,T10258,39.83,,Q,0
260,1,Passenger 260,female,49.8,1,0,T10259,125.34,C66,C,0
261,3,Passenger 261,female,28.9,0,1,T10260,11.01,C3,,0
262,3,Passenger 262,female,,0,1,T10261,31.07,,S,0
263,1,Passenger 263,female,15.1,1,0,T10262,68.74,C70,S,1
264,3,Passenger 264,male,36.0,0,0,T10263,43.92,C50,S,0
265,3,Passenger 265,female,27.4,1,1,T10264,90.29,,C,0
266,3,Passenger 266,male,43.8,2,1,T10265,14.42,C47,S,0
267,3,Passenger 267,female,,1,0,T10266,87.47,,S,0
268,3,Passenger 268,female,,0,0,T10267,64.03,,C,0
269,2,Passenger 269,male,,0,0,T10268,50.14,,S,0
270,2,Passenger 270,female,,0,0,T10269,71.63,,S,0
271,3,Passenger 271,male,32.7,0,1,T10270,31.55,,S,0
272,3,Passenger 272,male,25.1,1,0,T10271,12.45,,S,0
273,3,Passenger 273,female,34.7,0,0,T10272,59.8,C2,C,0
274,3,Passenger 274,male,25.9,0,0,T10273,42.19,,S,0
275,3,Passenger 275,female,,1,0,T10274,56.0,,S,1
276,3,Passenger 276,female,48.4,0,0,T10275,25.62,,S,0
277,3,Passenger 277,male,15.9,0,0,T10276,123.69,C9,S,0
278,3,Passenger 278,male,46.0,0,0,T10277,49.26,,S,0
279,3,Passenger 279,male,48.4,0,0,T10278,9.46,,S,0
280,3,Passenger 280,male,28.3,0,0,T10279,34.87,C96,S,0
281,3,Passenger 281,female,0.4,0,0,T10280,75.6,C53,S,0
282,2,Passenger 282,male,21.5,0,0,T10281,92.43,,S,0
283,2,Passenger 283,male,48.2,0,0,T10282,43.03,,S,0
284,1,Passenger 284,male,29.7,0,2,T10283,211.63,,C,0
285,3,Passenger 285,male,16.0,1,0,T10284,20.58,,S,0
286,1,Passenger 286,female,22.9,0,1,T10285,56.58,C90,C,0
287,3,Passenger 287,male,41.8,0,1,T10286,119.43,,S,0
288,3,Passenger 288,female,37.7,1,0,T10287,118.29,,S,0
289,2,Passenger 289,male,26.7,0,1,T10288,69.16,C22,S,0
290,3,Passenger 290,female,24.9,1,0,T10289,102.94,C49,S,1
291,1,Passenger 291,male,24.5,1,0,T10290,17.37,,S,0
292,1,Passenger 292,male,17.1,1,0,T10291,189.22,,S,1
293,3,Passenger 293,female,,1,0,T10292,24.33,,,1
294,2,Passenger 294,male,25.5,0,0,T10293,16.3,,S,0
295,1,Passenger 295,female,47.0,1,0,T10294,33.62,,S,1
296,3,Passenger 296,female,51.3,0,0,T10295,32.06,,C,0
297,3,Passenger 297,male,,1,0,T10296,19.46,C66,S,0
298,1,Passenger 298,male,24.0,0,0,T10297,43.78,C32,C,0
299,3,Passenger 299,female,35.7,0,0,T10298,12.25,,S,0
300,1,Passenger 300,male,29.7,1,1,T10299,40.61,,Q,0
301,1,Passenger 301,male,17.3,0,0,T10300,85.44,,S,0
302,3,Passenger 302,male,34.5,1,0,T10301,34.16,C77,S,0
303,3,Passenger 303,male,13.5,1,0,T10302,26.29,,S,0
304,3,Passenger 304,male,46.6,0,1,T10303,73.61,,S,0
305,3,Passenger 305,female,,1,0,T10304,116.99,,S,1
306,3,Passenger 306,female,32.8,0,0,T10305,75.69,,S,1
307,3,Passenger 307,female,,0,0,T10306,25.17,C63,S,0
308,2,Passenger 308,female,26.4,1,2,T10307,80.54,,S,0
309,3,Passenger 309,male,38.2,0,0,T10308,13.24,,C,0
310,2,Passenger 310,female,,0,0,T10309,13.18,,C,0
311,2,Passenger 311,male,,0,0,T10310,28.82,,S,0
312,1,Passenger 312,male,,0,0,T10311,157.38,,S,0
313,1,Passenger 313,male,31.8,2,0,T10312,34.45,C72,C,1
314,3,Passenger 314,male,57.1,0,0,T10313,8.27,C10,S,0
315,3,Passenger 315,female,16.0,0,0,T10314,12.06,,C,1
316,3,Passenger 316,female,,0,1,T10315,102.86,,Q,0
317,2,Passenger 317,male,,1,1,T10316,60.75,,S,1
318,1,Passenger 318,male,,0,0,T10317,35.28,,C,0
319,1,Passenger 319,female,,1,1,T10318,81.93,,S,0
320,2,Passenger 320,male,36.8,1,0,T10319,46.74,,S,1
321,3,Passenger 321,male,38.9,2,0,T10320,58.27,,S,0
322,3,Passenger 322,male,45.5,1,1,T10321,18.28,,S,0
323,3,Passenger 323,female,,0,0,T10322,104.9,,C,1
324,2,Passenger 324,female,26.6,0,1,T10323,25.86,,S,0
325,3,Passenger 325,male,39.4,0,1,T10324,64.23,,S,0
326,3,Passenger 326,male,56.6,0,3,T10325,5.81,,S,0
327,3,Passenger 327,female,28.1,0,1,T10326,28.31,,S,0
328,3,Passenger 328,female,,0,0,T10327,26.67,C63,Q,0
329,2,Passenger 329,male,45.5,0,0,T10328,48.63,,S,0
330,2,Passenger 330,female,28.3,0,0,T10329,9.65,,S,0
331,2,Passenger 331,male,0.4,1,2,T10330,91.37,,S,0
332,3,Passenger 332,male,41.9,0,0,T10331,17.28,,S,0
333,1,Passenger 333,female,22.5,0,0,T10332,110.72,,S,0
334,1,Passenger 334,male,28.7,0,1,T10333,155.31,,S,1
335,1,Passenger 335,male,34.6,1,0,T10334,83.27,,S,0
336,1,Passenger 336,male,32.7,0,0,T10335,130.54,,S,1
337,3,Passenger 337,male,39.9,1,0,T10336,59.21,,C,0
338,3,Passenger 338,female,23.9,0,0,T10337,26.97,,S,1
339,3,Passenger 339,male,37.2,0,1,T10338,87.74,,S,0
340,1,Passenger 340,female,,1,0,T10339,40.42,,S,1
341,3,Passenger 341,male,40.3,0,0,T10340,47.34,,C,1
342,3,Passenger 342,male,38.6,0,0,T10341,73.4,,C,1
343,1,Passenger 343,male,16.9,0,1,T10342,51.87,,C,1
344,2,Passenger 344,female,45.2,0,0,T10343,25.34,,S,1
345,2,Passenger 345,male,22.5,0,0,T10344,39.32,,,0
346,3,Passenger 346,female,,0,1,T10345,90.18,C71,S,0
347,3,Passenger 347,male,35.1,2,1,T10346,137.91,,S,0
348,1,Passenger 348,female,,1,0,T10347,79.89,,,1
349,2,Passenger 349,male,26.9,0,0,T10348,65.07,C25,S,1
350,3,Passenger 350,female,,1,0,T10349,121.79,,S,0
351,3,Passenger 351,female,29.7,1,0,T10350,10.19,,S,0
352,3,Passenger 352,female,25.8,1,0,T10351,18.2,C58,S,1
353,3,Passenger 353,female,41.2,2,2,T10352,66.7,,Q,0
354,1,Passenger 354,female,7.4,1,0,T10353,165.22,,S,0
355,1,Passenger 355,male,15.2,0,0,T10354,184.06,C43,S,1
356,3,Passenger 356,male,15.1,0,1,T10355,31.82,,S,0
357,1,Passenger 357,male,43.3,0,0,T10356,17.42,,S,0
358,3,Passenger 358,female,,2,0,T10357,33.79,,S,0
359,3,Passenger 359,male,28.5,2,2,T10358,18.12,,S,0
360,3,Passenger 360,female,,1,0,T10359,22.21,,S,0
361,2,Passenger 361,male,31.0,1,0,T10360,86.88,,S,0
362,3,Passenger 362,male,46.3,0,0,T10361,8.93,,Q,1
363,3,Passenger 363,male,17.0,0,2,T10362,92.89,,S,0
364,3,Passenger 364,female,33.3,1,0,T10363,32.9,,S,1
365,3,Passenger 365,male,43.7,0,1,T10364,50.32,,S,0
366,2,Passenger 366,male,,0,0,T10365,10.67,,S,0
367,3,Passenger 367,male,32.7,1,0,T10366,25.58,,C,1
368,3,Passenger 368,male,44.0,0,0,T10367,9.7,,Q,0
369,1,Passenger 369,male,0.4,0,1,T10368,302.24,,S,0
370,1,Passenger 370,male,39.5,0,0,T10369,157.18,C26,C,1
371,1,Passenger 371,female,20.8,2,0,T10370,64.4,,S,0
372,1,Passenger 372,male,4.4,0,0,T10371,31.78,,S,1
373,1,Passenger 373,male,37.2,1,0,T10372,252.89,,S,0
374,3,Passenger 374,male,49.2,1,0,T10373,26.13,C86,S,0
375,1,Passenger 375,male,28.1,1,1,T10374,24.8,,S,1
376,2,Passenger 376,male,,0,0,T10375,51.05,,C,1
377,3,Passenger 377,male,52.6,1,0,T10376,148.92,C60,S,0
378,1,Passenger 378,male,48.4,0,1,T10377,9.35,,Q,1
379,3,Passenger 379,male,53.0,0,0,T10378,18.6,C91,C,0
380,2,Passenger 380,female,,1,0,T10379,158.83,,S,1
381,1,Passenger 381,female,31.1,0,0,T10380,25.89,,S,1
382,3,Passenger 382,female,7.6,0,0,T10381,11.01,,S,0
383,3,Passenger 383,male,26.6,0,1,T10382,47.22,,,0
384,3,Passenger 384,male,18.2,1,0,T10383,103.97,,S,0
385,3,Passenger 385,male,,0,1,T10384,37.42,,S,0
386,3,Passenger 386,male,27.5,1,0,T10385,265.74,C9,S,1
387,2,Passenger 387,female,31.7,0,0,T10386,68.03,,S,0
388,1,Passenger 388,male,37.7,0,0,T10387,15.93,,S,0
389,3,Passenger 389,male,30.6,0,0,T10388,251.91,,S,1
390,3,Passenger 390,male,,0,1,T10389,31.2,C16,S,0
391,3,Passenger 391,female,21.3,0,1,T10390,21.94,,S,0
392,2,Passenger 392,male,,0,0,T10391,50.39,,S,1
393,2,Passenger 393,male,19.6,0,0,T10392,25.46,C60,S,0
394,3,Passenger 394,male,11.5,0,1,T10393,9.52,C80,S,0
395,2,Passenger 395,male,21.4,0,0,T10394,5.58,,S,0
396,3,Passenger 396,male,29.5,0,1,T10395,34.85,,S,1
397,3,Passenger 397,male,24.0,1,1,T10396,95.66,,S,0
398,2,Passenger 398,male,20.3,0,1,T10397,52.22,,S,1
399,3,Passenger 399,male,10.3,0,0,T10398,362.0,,S,0
400,3,Passenger 400,male,28.8,0,0,T10399,21.9,,S,0
401,1,Passenger 401,male,8.9,0,0,T10400,38.62,,S,1
402,3,Passenger 402,male,,0,1,T10401,13.7,,S,0
403,3,Passenger 403,female,31.2,1,0,T10402,13.96,,C,0
404,3,Passenger 404,female,9.6,1,0,T10403,21.79,,C,0
405,2,Passenger 405,male,25.7,0,1,T10404,92.08,,C,1
406,3,Passenger 406,male,19.5,0,0,T10405,123.09,,S,0
407,2,Passenger 407,male,34.5,0,0,T10406,208.58,,S,0
408,1,Passenger 408,male,,0,1,T10407,32.79,,S,0
409,3,Passenger 409,female,3.7,1,0,T10408,111.56,,S,1
410,1,Passenger 410,male,31.6,2,1,T10409,44.81,,S,0
